name,price,price_numeric
Ducray Squanorm Anti-dandruff Treatment Shampoo - Dry Dandruff 200 ml,47.09 SAR,47.09
Kevin Murphy Repair Me Wash Shampoo 250ml,132.83 SAR,132.83
Dicora Urban Fit Shampoo Max Repair - 800 ml,15.97 SAR,15.97
Natura Siberica Oblepikha Shampoo All Hair Types 400Ml,21.79 SAR,21.79
John Frieda Shampoo Detox & Repair 250ml,34.99 SAR,34.99
Ice Shampoo Repair My Hair 250ml,14.38 SAR,14.38
Kevin Murphy Hydrate Me Wash Shampoo 250ml,112.70 SAR,112.70
Anivagene Shampoo Fortifying And Energizing Women 200 ml,75.90 SAR,75.90
Creightons Argan Smooth Shampoo 250 ml,10.97 SAR,10.97
ISISPHARMA Ilcapil KR Shampoo Dandruff Itchy Scalp 150ml,58.65 SAR,58.65
Uriage Ds. Hair Soft Balancing Shampoo 200ml,65.21 SAR,65.21
Dicora Urban Fit Shampoo Beauty Curls - 800 ml,15.97 SAR,15.97
Herbal Essences Argan Oil Of Morocco Repair Shampoo 400 ml,11.48 SAR,11.48
Herbal Essences Aloe & Bambo Strenght Builder Shampoo 400 ml,13.50 SAR,13.50
Vichy Dercos Energising Anti Hair Fall Shampoo with Aminexil 200ml,70.62 SAR,70.62
Vichy Dercos Anti Dandruff Shampoo For Normal To Oily Hair 200 ml,70.62 SAR,70.62
Elvive Hyaluron Moisture Filling Shampoo For Dry Hair 400 ml,11.48 SAR,11.48
Alta Moda Shampoo Detox Purify For Oily Hair 300ml,17.54 SAR,17.54
Herbal Essences Micellar Water & Blue Ginger Purify Shampoo 400 ml,11.48 SAR,11.48
Pantene Pro-V Daily Care Shampoo 1L,26.94 SAR,26.94
Ultra Doux Rice Water Shampoo 600ml,15.94 SAR,15.94
Herbal Essences Organic White Strawberry & Sweet Mint Shampoo 400 ml,11.48 SAR,11.48
Pantene Smooth & Silky Shampoo For Rough and Frizzy Hair 1000 ml,26.94 SAR,26.94
"Head & Shoulders Menthol Refresh Anti-Dandruff Shampoo, 1 L",29.95 SAR,29.95
Elvive Shampoo Hyaluron Pure 600ml,18.94 SAR,18.94
Herbal Essences Arabica Coffee Fruit Volume Shampoo 400 ml,11.48 SAR,11.48
Vichy Dercos Anti Dandruff Shampoo For Dry Hair 200 ml,70.62 SAR,70.62
Elvive Shampoo Arginine Resist 400 ml,11.95 SAR,11.95
Garnier Ultra Doux Avocado Oil & Shea Butter Rich Nourishing Shampoo For Very Dry or Frizzy Hair - 400 ml,10.48 SAR,10.48
Keratin Therapy Promo Pack Shampoo+Conditioner,68.94 SAR,68.94
Pantene Pro-V Anti-Hair Fall Shampoo 1 L,26.94 SAR,26.94
Herbal Essences Aloe & Avocado Oil Curl Hydrator Shampoo 400 ml,13.50 SAR,13.50
Dicora Urban Fit Shampoo Best Color - 800 ml,15.97 SAR,15.97
Vichy Dercos Densi-Solutions Hair Thickening Shampoo for Weak and Thinning hair 250ml,70.62 SAR,70.62
Herbal Essences Coconut Milk Hydrate Shampoo 400 ml,11.48 SAR,11.48
Head & Shoulders Menthol Fresh Shampoo 390ml,12.48 SAR,12.48
Dove Shampoo Daily Care 2x350ml,19.98 SAR,19.98
Kerastase Genesis Anti Hair Fall Shampoo Normal Hair 250ml,113.67 SAR,113.67
Giovanni Smooth As Silk Shampoo 250ml,39.94 SAR,39.94
Mielle Organics Rosemary Mint Strengthening Shampoo 355 ml,39.97 SAR,39.97
Pharmaceris Ph H-Stimupurin Hair Stim Shampoo 250 ml,78.95 SAR,78.95
Watermans Shampoo Grow Me 250ml,79.93 SAR,79.93
Ducray Kelual DS Anti-Dandruff Treatment Shampoo 100 ml,49.30 SAR,49.30
Ducray Anaphase+ Anti-Hair Loss Complement Shampoo 200 ml,49.30 SAR,49.30
Nahdi Anti Lice Shampoo 200 ml,45.00 SAR,45.00
Dicora Urban Fit Shampoo Smooth & Shine - 800 ml,15.97 SAR,15.97
Natura Siberica Oblepikha Shampoo For Normal And Oily Hair 400Ml,21.79 SAR,21.79
Ducray Elution Rebalancing shampoo 200ml,38.35 SAR,38.35
Ducray Shampoo Extra-Doux Delicate Hair 400 Ml,65.75 SAR,65.75
Phyto Paris Purple Shampoo No Yellow 250ml,51.18 SAR,51.18
Violet Crush Intensive Purple Shampoo 250ml,40.00 SAR,40.00
Ducray Squanorm Anti-dandruff treatment shampoo - Oily dandruff 200 ml,47.09 SAR,47.09
Ducray Sabal Shampoo For Oily Hair 200ml,56.99 SAR,56.99
Nuxe Hair Prodigieux High Shine Shampoo 400ml,72.59 SAR,72.59
Creightons Curl Company Shampoo 250 ml,10.97 SAR,10.97
Anivagene Shampoo Anti-Dandruff 200 ml,58.95 SAR,58.95
Phyto Paris Hair Loss Shampoo Women Invigorating 250ml,62.10 SAR,62.10
Ducray Nutricerat Hair Shampoo Dry Hair 200 Ml,49.30 SAR,49.30
Ice Shampoo Refresh My Scalp 250ml,14.38 SAR,14.38
Phyto Paris Volume Shampoo 250ml,51.18 SAR,51.18
Ducray Squanorm Anti-dandruff Treatment Shampoo - Dry Dandruff 200 ml,47.09 SAR,47.09
Kevin Murphy Repair Me Wash Shampoo 250ml,132.83 SAR,132.83
Dicora Urban Fit Shampoo Max Repair - 800 ml,15.97 SAR,15.97
Natura Siberica Oblepikha Shampoo All Hair Types 400Ml,21.79 SAR,21.79
John Frieda Shampoo Detox & Repair 250ml,34.99 SAR,34.99
Ice Shampoo Repair My Hair 250ml,14.38 SAR,14.38
Kevin Murphy Hydrate Me Wash Shampoo 250ml,112.70 SAR,112.70
Anivagene Shampoo Fortifying And Energizing Women 200 ml,75.90 SAR,75.90
Creightons Argan Smooth Shampoo 250 ml,10.97 SAR,10.97
ISISPHARMA Ilcapil KR Shampoo Dandruff Itchy Scalp 150ml,58.65 SAR,58.65
Uriage Ds. Hair Soft Balancing Shampoo 200ml,65.21 SAR,65.21
Dicora Urban Fit Shampoo Beauty Curls - 800 ml,15.97 SAR,15.97
